date,type,category,latitude,longitude
2/11/2004 0:00:00,Explosive Hazard,IED Explosion,31.80888939,64.51805878
2/11/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.17776871,69.69944763
2/12/2004 0:00:00,Enemy Action,Direct Fire,32.09999084,66.90000153
2/12/2004 0:00:00,Enemy Action,Direct Fire,31,66.40000153
2/12/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.57806015,69.19304657
2/13/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.27389145,70.01889038
2/13/2004 0:00:00,Enemy Action,Direct Fire,31.96666908,65.48332977
2/13/2004 0:00:00,Explosive Hazard,Mine Found/Cleared,33.57249069,68.36250305
2/14/2004 0:00:00,Enemy Action,Direct Fire,31,65.00000763
2/14/2004 0:00:00,Enemy Action,Attack,31,65.00000763
2/14/2004 0:00:00,Enemy Action,Assassination,32.51665878,67.41665649
2/15/2004 0:00:00,Friendly Action,Cache Found/Cleared,31.62722015,65.68888855
2/15/2004 0:00:00,Explosive Hazard,IED Explosion,35.16917038,71.45166016
2/15/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.33776855,69.95777893
2/15/2004 0:00:00,Enemy Action,Direct Fire,31,65.00000763
2/15/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.33776855,69.95777893
2/15/2004 0:00:00,Enemy Action,Direct Fire,30.16666031,66.19998932
2/15/2004 0:00:00,Explosive Hazard,IED Explosion,33.56111145,68.42888641
2/15/2004 15:00:00,Explosive Hazard,IED Explosion,33.55221939,70.04528046
2/16/2004 0:00:00,Explosive Hazard,IED Explosion,33.48305893,68.39193726
2/22/2004 0:00:00,Enemy Action,Direct Fire,31.61667061,65.71665955
2/16/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.45526886,70.1986084
2/16/2004 0:00:00,Enemy Action,Indirect Fire,33.46805954,70.19248962
2/17/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.96971893,70.73554993
2/17/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.46028137,70.12555695
2/17/2004 0:00:00,Explosive Hazard,IED Explosion,33.32471085,69.98805237
2/17/2004 0:00:00,Enemy Action,Direct Fire,31.96665955,65.98332977
2/18/2004 0:00:00,Enemy Action,Direct Fire,31,65.00000763
