latitude,longitude,date,event
17.41821,105.1962,10/30/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Heavy/MOD Total Bombs = 8
17.27657,105.75446,10/31/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Heavy/MOD Total Bombs = 4
17.5682,105.16287,10/31/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Unobserved Total Bombs = 235
17.35156,105.82668,11/15/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cratered Total Bombs = 2
17.51599,105.7253,11/16/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cratered Total Bombs = 343
17.20436,106.09609,11/19/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 38
17.61821,105.72946,11/20/1966 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 183
17.31823,105.67947,11/20/1966 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 46
17.40045,105.73474,11/22/1966 0:00:00,1000 LB GPB M-65 A-1 Area/Depot Cut Total Bombs = 102
17.2349,105.8128,11/22/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 216
17.51599,105.72474,11/23/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cratered Total Bombs = 14
17.22519,106.13442,11/24/1966 0:00:00,1000 LB GPB M-65 A-1 Road No Damage Total Bombs = 785
17.50155,105.82945,11/24/1966 0:00:00,1000 LB GPB M-65 A-1 Road Cratered Total Bombs = 8
17.2099,105.80446,11/25/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Cut Total Bombs = 19
17.58487,105.49616,11/25/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Area/Depot Heavy/MOD Total Bombs = 193
17.57654,105.51283,11/25/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Cave Unobserved Total Bombs = 6
17.23213,105.8253,11/27/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Road Unobserved Total Bombs = 44
17.43487,104.99623,12/20/1966 0:00:00,1000 LB General Purpose Bomb - High Drag Bridge Unobserved Total Bombs = 1
17.53432,105.27841,1/15/1967 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 56
17.31795,105.59337,1/17/1967 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 162
17.31795,105.59337,1/17/1967 0:00:00,1000 LB GPB M-65 A-1 Truck Park/Stop Unobserved Total Bombs = 163
17.53543,105.27952,1/18/1967 0:00:00,1000 LB GPB M-65 A-1 Troops Cratered Total Bombs = 106
17.22519,106.13442,1/18/1967 0:00:00,1000 LB GPB M-65 A-1 Road Unobserved Total Bombs = 809
17.53543,105.27952,1/18/1967 0:00:00,1000 LB GPB M-65 A-1 Area/Depot Unobserved Total Bombs = 107
17.21824,105.82946,1/19/1967 0:00:00,1000 LB GPB M-65 A-1 Road Light/Slight Total Bombs = 132
17.34323,105.71281,1/20/1967 0:00:00,1000 LB GPB M-65 A-1 Road Cut Total Bombs = 48
17.53543,105.27952,1/20/1967 0:00:00,1000 LB GPB M-65 A-1 Unknown/Unidentified Unobserved Total Bombs = 108
17.53432,105.27841,1/21/1967 0:00:00,1000 LB GPB M-65 A-1 Road Light/Slight Total Bombs = 57
